Date,Open,High,Low,Close,Volume
2012.5.10,"26,100","26,850","26,100","26,600","4,786,754"
2012.5.11,"26,450","26,550","25,300","25,400","6,791,152"
2012.5.14,"25,500","26,200","25,450","26,100","4,883,326"
2012.5.15,"25,800","25,950","24,750","25,300","7,122,988"
2012.5.16,"24,900","24,950","22,900","23,050","16,239,262"
2012.5.17,"23,300","24,650","23,050","24,500","12,063,990"
2012.5.18,"23,850","24,450","23,450","23,600","6,982,606"
2012.5.21,"24,200","24,300","23,200","23,400","6,240,734"
2012.5.22,"24,050","24,100","23,400","23,550","8,273,153"
2012.5.23,"23,400","23,400","22,300","22,400","9,271,264"
2012.5.24,"22,450","22,950","22,000","22,400","6,445,583"
2012.5.25,"22,650","22,800","21,800","22,000","7,771,291"
2012.5.29,"22,250","23,500","22,200","23,450","8,661,422"
2012.5.30,"23,550","23,750","23,150","23,450","5,137,111"
2012.5.31,"23,000","23,200","22,600","23,100","4,914,910"
2012.6.1,"23,050","23,250","22,750","22,750","3,513,845"
2012.6.4,"21,700","22,150","21,350","21,550","9,463,895"
2012.6.5,"21,800","21,900","21,500","21,650","5,342,939"
2012.6.7,"22,500","22,900","22,450","22,550","7,121,619"
2012.6.8,"22,450","22,500","21,700","21,750","5,465,246"
2012.6.11,"22,400","23,150","22,350","23,050","6,838,614"
2012.6.12,"22,550","23,850","22,350","23,550","7,930,382"
2012.6.13,"23,850","23,950","23,200","23,650","4,669,175"
2012.6.14,"23,350","23,950","23,350","23,900","5,033,207"
2012.6.15,"23,550","23,650","23,150","23,400","16,156,049"
2012.6.18,"24,100","24,200","23,550","23,600","5,037,166"
2012.6.19,"23,650","24,000","23,450","23,850","3,788,167"
2012.6.20,"24,350","25,100","24,200","24,800","9,176,434"
2012.6.21,"24,800","24,950","24,300","24,550","3,751,425"
2012.6.22,"24,050","24,350","23,950","24,100","4,506,535"
2012.6.25,"24,100","24,350","22,700","23,050","9,744,824"
2012.6.26,"22,950","23,400","22,900","23,100","4,631,121"
2012.6.27,"23,200","23,250","22,600","22,800","4,778,045"
2012.6.28,"22,800","23,400","22,800","23,300","3,483,226"
2012.6.29,"23,050","23,900","22,850","23,850","4,697,087"
2012.7.2,"24,300","24,350","23,700","23,700","3,887,302"
2012.7.3,"23,800","24,300","23,800","24,300","3,047,839"
2012.7.4,"24,400","24,650","24,000","24,050","3,199,905"
2012.7.5,"23,950","24,200","23,750","23,800","2,657,599"
2012.7.6,"24,000","24,450","23,850","24,000","4,009,123"
2012.7.9,"23,700","23,950","23,550","23,700","3,156,411"
2012.7.10,"23,850","23,900","23,500","23,700","2,647,193"
2012.7.11,"23,450","23,700","22,900","22,950","5,151,231"
2012.7.12,"23,000","23,150","22,250","22,250","5,450,204"
2012.7.13,"22,250","22,450","21,450","22,400","6,627,802"
2012.7.16,"22,450","22,600","21,750","21,800","6,340,054"
2012.7.17,"21,550","21,700","21,250","21,300","9,112,719"
2012.7.18,"21,250","21,500","20,150","20,250","12,954,262"
2012.7.19,"20,700","20,800","20,300","20,400","7,401,854"
2012.7.20,"20,800","21,550","20,750","21,250","7,870,436"
2012.7.23,"20,800","20,850","20,200","20,350","6,964,724"
2012.7.24,"20,550","21,150","20,550","20,800","7,328,882"
2012.7.25,"20,350","20,850","20,100","20,400","6,280,081"
2012.7.26,"20,700","20,800","20,250","20,400","5,976,319"
2012.7.27,"20,850","21,250","20,700","21,150","7,453,097"
2012.7.30,"21,500","21,800","21,250","21,300","4,916,872"
2012.7.31,"21,350","21,900","21,200","21,700","7,215,276"
2012.8.1,"21,900","22,100","21,450","21,500","5,633,215"
2012.8.2,"21,650","21,800","21,300","21,550","4,816,006"
2012.8.3,"21,150","21,250","20,850","20,950","5,525,416"
2012.8.6,"21,500","22,000","21,400","21,750","6,733,285"
2012.8.7,"21,800","22,200","21,650","22,000","4,757,101"
2012.8.8,"22,300","23,000","22,250","22,750","10,972,713"
2012.8.9,"22,800","22,950","22,450","22,900","8,196,833"
2012.8.10,"22,900","23,050","22,750","23,000","3,993,418"
2012.8.13,"23,150","23,250","22,600","22,700","3,415,389"
2012.8.14,"22,700","23,000","22,600","22,900","3,662,137"
2012.8.16,"22,800","22,950","22,100","22,200","7,787,699"
2012.8.17,"22,450","22,650","22,300","22,500","4,112,850"
2012.8.20,"22,300","22,750","22,250","22,550","3,278,867"
2012.8.21,"22,650","23,350","22,650","23,100","9,152,697"
2012.8.22,"23,150","23,300","22,650","22,850","4,582,101"
2012.8.23,"22,850","22,900","22,300","22,400","6,340,317"
2012.8.24,"22,000","22,450","21,750","21,800","6,175,133"
2012.8.27,"21,650","22,200","21,550","21,700","5,324,077"
2012.8.28,"21,700","21,850","21,100","21,300","7,433,538"
2012.8.29,"21,350","21,600","21,250","21,450","4,295,175"
2012.8.30,"21,400","21,450","21,050","21,200","3,263,544"
2012.8.31,"20,950","21,400","20,950","21,200","2,702,479"
2012.9.3,"21,200","21,450","20,900","21,400","3,518,196"
2012.9.4,"21,350","21,800","21,250","21,500","3,775,480"
2012.9.5,"21,500","21,650","21,200","21,200","3,826,683"
2012.9.6,"21,400","21,400","20,550","20,900","9,041,756"
2012.9.7,"22,000","22,550","21,750","22,500","15,221,162"
2012.9.10,"22,350","22,500","22,150","22,250","4,757,626"
2012.9.11,"22,150","22,150","21,800","21,950","3,664,743"
2012.9.12,"22,200","22,400","22,000","22,200","3,267,122"
2012.9.13,"22,100","22,150","21,800","21,850","4,237,233"
